title,audience_rating,genre,critic_rating,runtime,votes,gross,year
Gritos,6.3,"Horror, Mystery, Thriller",60,114 min,144237,"81,641,405",2022
X,6.6,"Horror, Mystery, Thriller",79,105 min,142294,N/A,2022
Babylon,7.1,"Comedy, Drama, History",60,189 min,142201,N/A,2022
K.G.F: Chapter 2,8.3,"Action, Crime, Drama",N/A,168 min,142139,"6,604,562",2022
Morbius,5.2,"Action, Adventure, Horror",35,104 min,141444,"73,865,530",2022
Turning Red: Estranhamente Vermelho,7.0,"Animation, Adventure, Comedy",83,100 min,139836,N/A,2022
A Cidade Perdida,6.1,"Action, Adventure, Comedy",60,112 min,139480,"105,344,029",2022
Sorri,6.5,"Horror, Mystery, Thriller",68,115 min,138916,N/A,2022
Hustle: O Grande Salto,7.3,"Comedy, Drama, Sport",68,117 min,135973,N/A,2022
O Peso Insuportável de Um Enorme Talento,7.0,"Action, Comedy, Crime",68,107 min,133681,N/A,2022
Peacemaker,8.3,"Action, Adventure, Comedy",N/A,40 min,126081,N/A,2022
"Não Te Preocupes, Querida",6.3,"Drama, Mystery, Thriller",48,123 min,125962,N/A,2022
Um Homem Chamado Otto,7.5,"Comedy, Drama",51,126 min,124134,"62,472,236",2022
M3gan,6.4,"Horror, Sci-Fi, Thriller",72,102 min,120978,"93,883,550",2022
Buzz Lightyear,6.1,"Animation, Action, Adventure",60,105 min,117667,"118,307,188",2022
Os Olhos de Allan Poe,6.6,"Crime, Horror, Mystery",56,128 min,113170,N/A,2022
Ms. Marvel,6.3,"Action, Adventure, Comedy",N/A,271 min,112548,N/A,2022
Brahmastra Part One: Shiva,5.6,"Action, Adventure, Fantasy",57,167 min,109606,N/A,2022
A Rapariga Selvagem,7.2,"Drama, Mystery, Romance",43,125 min,106082,"90,230,760",2022
Pinóquio de Guillermo del Toro,7.6,"Animation, Drama, Family",79,117 min,103981,N/A,2022
1899,7.3,"Drama, Horror, Mystery",N/A,60 min,101658,N/A,2022
The Terminal List,7.9,"Action, Drama, Thriller",N/A,55 min,100981,N/A,2022
Os Fabelmans,7.5,Drama,84,151 min,99969,N/A,2022
Kantara,8.3,"Action, Adventure, Drama",N/A,148 min,97773,N/A,2022
Moonfall - Rota de Colisão,5.1,"Action, Adventure, Sci-Fi",41,130 min,92461,"19,060,660",2022
Enola Holmes 2,6.8,"Action, Adventure, Crime",64,129 min,91804,N/A,2022
Vertigem Mortal,6.4,Thriller,62,107 min,91612,"7,240,521",2022
Black Bird,8.1,"Biography, Crime, Drama",N/A,347 min,87666,N/A,2022
Os Guardiões da Galáxia - Especial Boas Festas,6.9,"Action, Adventure, Comedy",N/A,42 min,86627,N/A,2022
Ambulância,6.1,"Action, Crime, Drama",55,136 min,86497,"22,781,115",2022
Day Shift,6.1,"Action, Comedy, Fantasy",51,113 min,85555,N/A,2022
Amesterdão,6.1,"Comedy, Drama, History",48,134 min,82928,N/A,2022
Tár,7.4,"Drama, Music",92,158 min,80382,N/A,2022
Sonic 2: O Filme,6.5,"Action, Adventure, Comedy",47,122 min,78931,"190,872,904",2022
Mínimos 2: A Ascensão de Gru,6.5,"Animation, Adventure, Comedy",56,87 min,78233,"369,695,210",2022
Noite Violenta,6.7,"Action, Comedy, Crime",55,112 min,77022,N/A,2022
Inventing Anna,6.8,Drama,N/A,65 min,74825,N/A,2022
The Peripheral,7.6,"Drama, Mystery, Sci-Fi",N/A,N/A,73792,N/A,2022
The Watcher,6.5,"Drama, Horror, Mystery",N/A,332 min,73702,N/A,2022
O Enfermeiro da Noite,6.8,"Biography, Crime, Drama",65,121 min,73523,N/A,2022
Aftersun,7.7,Drama,95,102 min,72966,N/A,2022
DC Liga dos Super Pets,7.1,"Animation, Action, Adventure",56,105 min,71559,"93,657,117",2022
The Tinder Swindler,7.1,"Documentary, Crime",N/A,114 min,70204,N/A,2022
 House of the Dragon,8.7,"Action, Adventure, Drama",N/A,66 min,70192,N/A,2022
Heartstopper,8.6,"Drama, Romance",N/A,30 min,69663,N/A,2022
Pearl,7.0,"Drama, Horror, Thriller",76,103 min,69287,N/A,2022
Halo,7.2,"Action, Adventure, Sci-Fi",N/A,60 min,69212,N/A,2022
Blonde,5.5,"Drama, History",50,167 min,68141,N/A,2022
A Mulher Rei,6.9,"Action, Drama, History",77,135 min,67092,"67,328,130",2022
Fresh,6.7,"Horror, Thriller",67,114 min,66454,N/A,2022
Vikram,8.3,"Action, Crime, Thriller",N/A,175 min,65929,N/A,2022
Halloween O Final,5.0,"Horror, Thriller",47,111 min,64724,N/A,2022
Werewolf by Night: Lobisomem,7.2,"Action, Adventure, Drama",N/A,52 min,64719,N/A,2022
Cyberpunk: Edgerunners,8.3,"Animation, Action, Adventure",N/A,24 min,64125,N/A,2022
Karthikeya 2,8.0,"Action, Adventure, Fantasy",N/A,150 min,63665,N/A,2022
 Ataque dos Titãs,9.8,"Animation, Action, Adventure",N/A,24 min,63577,N/A,2022
Spiderhead,5.5,"Action, Crime, Drama",54,106 min,63538,N/A,2022
